,genre_id,genre_group
980,lgbtq+ hip hop,rap/hiphop
981,norteno-sax,delete
982,nz pop,delete
983,german underground rap,delete
984,escape room,delete
985,trap queen,trap
986,chamber pop,delete
987,modern ska punk,ska
988,smooth saxophone,delete
989,stomp and holler,delete
990,washington indie,indie
991,jazz boom bap,delete
992,acoustic pop,delete
993,ectofolk,folk
994,austin singer-songwriter,delete
995,antiviral pop,delete
996,comedy rock,rock
997,parody,delete
998,boston punk,rock
999,neue deutsche harte,delete
1000,chilena,delete
1001,south carolina hip hop,delete
1002,filter house,dance
1003,anarcho-punk,rock
1004,modern blues rock,delete
1005,modern folk rock,rock
1006,post-teen pop,pop
1007,new orleans rap,rap/hiphop
1008,virginia hip hop,rap/hiphop
1009,derby indie,indie
1010,praise,delete
1011,nyc rap,rap/hiphop
1012,big beat,delete
1013,breakbeat,delete
1014,hardcore techno,edm
1015,rave,edm
1016,atlanta metal,hardcore_rock
1017,latin house,dance
1018,pop argentino,delete
1019,bounce,delete
1020,crunk,delete
1021,elephant 6,delete
1022,chicha,delete
1023,cumbia colombiana regia,delete
1024,nu jazz,delete
1025,eurobeat,delete
1026,chicago indie,indie
1027,chopped and screwed,delete
1028,deep southern trap,trap
1029,houston rap,rap/hiphop
1030,indie garage rock,indie
1031,lo-fi indie,indie
1032,ambient pop,pop
1033,baton rouge rap,delete
1034,dirty texas rap,delete
1035,gospel r&b,gospel
1036,chunchaca,delete
1037,new rave,delete
1038,queercore,delete
1039,alternative emo,rock
1040,emo,rock
1041,midwest emo,delete
1042,texas latin rap,rap/hiphop
1043,idaho indie,indie
1044,pokemon,delete
1045,trap latino,trap
1046,reggae rock,delete
1047,jazz pop,delete
1048,lullaby,delete
1049,st louis rap,delete
1050,chiptune,delete
1051,barbadian pop,delete
1052,british post-rock,rock
1053,chamber psych,delete
1054,cosmic post-rock,delete
1055,post-rock,rock
1056,viral pop,pop
1057,british alternative rock,rock
1058,rhode island indie,indie
1059,canadian latin,latin
1060,kindie rock,indie
1061,garage rock revival,delete
1062,swedish garage rock,delete
1063,swedish indie rock,delete
1064,bay area indie,indie
1065,rock independant francais,delete
1066,memphis hip hop,rap/hiphop
1067,tennessee hip hop,rap/hiphop
1068,underground hip hop,rap/hiphop
1069,queer country,country
1070,ambient worship,delete
1071,space ambient,delete
1072,chinese indie,delete
1073,sinogaze,delete
1074,southern china indie,delete
1075,comedy rap,delete
1076,canadian pop punk,rock
1077,canadian punk,rock
1078,christian indie,delete
1079,albuquerque indie,indie
1080,portland indie,indie
1081,deep house,dance
1082,funky house,dance
1083,funky tech house,dance
1084,jackin' house,dance
1085,deep tropical house,dance
1086,groove room,delete
1087,pop house,dance
1088,anthem emo,rock
1089,easycore,delete
1090,russian edm,delete
1091,zen,delete
1092,guaracha,delete
1093,christian rock,delete
1094,palm desert scene,delete
1095,screamo,rock
1096,battle rap,rap/hiphop
1097,south african rock,delete
1098,christian hip hop,delete
1099,australian country,country
1100,dancehall,caribbean
1101,texas pop punk,rock
1102,old school dancehall,caribbean
1103,musica costena,delete
1104,western americana,delete
1105,reggaeton,latin
1106,dreamo,delete
1107,neon pop punk,delete
1108,pop emo,delete
1109,moldovan pop,delete
1110,alabama metal,hardcore_rock
1111,etherpop,pop
1112,omaha indie,indie
1113,british singer-songwriter,delete
1114,jazztronica,delete
1115,red dirt,delete
1116,preschool children's music,delete
1117,video game music,delete
1118,gymcore,delete
1119,hard alternative,rock
1120,barbershop,delete
1121,world worship,delete
1122,belgian rock,delete
1123,spacewave,delete
1124,synthwave,delete
1125,dark clubbing,edm
1126,aggrotech,edm
1127,dark electro,electro
1128,ebm,delete
1129,electro-industrial,electro
1130,belgian dance,dance
1131,jumpstyle,delete
1132,hands up,delete
1133,happy hardcore,delete
1134,psychedelic blues-rock,delete
1135,gothic symphonic metal,hardcore_rock
1136,melodic metal,hardcore_rock
1137,symphonic metal,hardcore_rock
1138,rap boricua,delete
1139,seattle indie,indie
1140,acid house,dance
1141,chicago house,dance
1142,soulful house,dance
1143,italian tech house,dance
1144,romanian rap,delete
1145,country rap,delete
1146,mandopop,asian pop
1147,singaporean mandopop,asian pop
1148,singaporean pop,asian pop
1149,singaporean singer-songwriter,asian pop
1150,disco polo,delete
1151,vocal trance,edm
1152,dutch trance,delete
1153,danish pop,delete
1154,dark progressive house,dance
1155,deep progressive house,dance
1156,focus trance,edm
1157,progressive breaks,delete
1158,talent show,delete
1159,english indie rock,rock
1160,kent indie,indie
1161,reggaeton flow,latin
1162,north carolina hip hop,rap/hiphop
1163,jawaiian,delete
1164,hula,delete
1165,slack-key guitar,delete
1166,sacred steel,delete
1167,piano cover,delete
1168,modern old-time,delete
1169,classic j-rock,delete
1170,canadian ccm,delete
1171,christian punk,delete
1172,latin talent show,delete
1173,industrial techno,edm
1174,melodic metalcore,hardcore_rock
1175,virginia metal,hardcore_rock
1176,ann arbor indie,indie
1177,asian american hip hop,delete
1178,k-rap,delete
1179,abstract hip hop,delete
1180,scratch,delete
1181,tribal house,dance
1182,ambient techno,edm
1183,cologne electronic,electro
1184,microhouse,dance
1185,martial industrial,delete
1186,medieval folk,folk
1187,neoclassical darkwave,delete
1188,neofolk,folk
1189,nashville hip hop,delete
1190,soca,caribbean
1191,pop soul,soul
1192,acid jazz,jazz
1193,j-poprock,asian pop
1194,indie pop rap,rap/hiphop
1195,bay area hip hop,rap/hiphop
1196,stomp pop,pop
1197,melbourne bounce international,delete
1198,chicago hardcore,rock
1199,chicago punk,rock
1200,kansas city hip hop,delete
1201,modern alternative rock,rock
1202,boston metal,hardcore_rock
1203,metalcore,hardcore_rock
1204,deep new americana,delete
1205,progressive groove metal,hardcore_rock
