,id
951,stoner metal
952,chicago rap
953,braindance
954,intelligent dance music
955,uk experimental electronic
956,alaska indie
957,australian psych
958,swedish country
959,indie soul
960,boom bap
961,banda carnavalera
962,german pop rock
963,sierreno
964,speed garage
965,scandipop
966,swedish electropop
967,alternative dance
968,house
969,pop dance
970,tropical house
971,underground rap
972,sheffield indie
973,indie punk
974,experimental vocal
975,icelandic experimental
976,metropopolis
977,louisiana metal
978,southern metal
979,rap kreyol
980,lgbtq+ hip hop
981,norteno-sax
982,nz pop
983,german underground rap
984,escape room
985,trap queen
986,chamber pop
987,modern ska punk
988,smooth saxophone
989,stomp and holler
990,washington indie
991,jazz boom bap
992,acoustic pop
993,ectofolk
994,austin singer-songwriter
995,antiviral pop
996,comedy rock
997,parody
998,boston punk
999,neue deutsche harte
1000,chilena
1001,south carolina hip hop
1002,filter house
1003,anarcho-punk
1004,modern blues rock
1005,modern folk rock
1006,post-teen pop
1007,new orleans rap
1008,virginia hip hop
1009,derby indie
1010,praise
1011,nyc rap
1012,big beat
1013,breakbeat
1014,hardcore techno
1015,rave
1016,atlanta metal
1017,latin house
1018,pop argentino
1019,bounce
1020,crunk
1021,elephant 6
1022,chicha
1023,cumbia colombiana regia
1024,nu jazz
1025,eurobeat
1026,chicago indie
1027,chopped and screwed
1028,deep southern trap
1029,houston rap
1030,indie garage rock
1031,lo-fi indie
1032,ambient pop
1033,baton rouge rap
1034,dirty texas rap
1035,gospel r&b
1036,chunchaca
1037,new rave
1038,queercore
1039,alternative emo
1040,emo
1041,midwest emo
1042,texas latin rap
1043,idaho indie
1044,pokemon
1045,trap latino
1046,reggae rock
1047,jazz pop
1048,lullaby
1049,st louis rap
1050,chiptune
1051,barbadian pop
1052,british post-rock
1053,chamber psych
1054,cosmic post-rock
1055,post-rock
1056,viral pop
1057,british alternative rock
1058,rhode island indie
1059,canadian latin
1060,kindie rock
1061,garage rock revival
1062,swedish garage rock
1063,swedish indie rock
1064,bay area indie
1065,rock independant francais
1066,memphis hip hop
1067,tennessee hip hop
1068,underground hip hop
1069,queer country
1070,ambient worship
1071,space ambient
1072,chinese indie
1073,sinogaze
1074,southern china indie
1075,comedy rap
1076,canadian pop punk
1077,canadian punk
1078,christian indie
1079,albuquerque indie
1080,portland indie
1081,deep house
1082,funky house
1083,funky tech house
1084,jackin' house
1085,deep tropical house
1086,groove room
1087,pop house
1088,anthem emo
1089,easycore
1090,russian edm
1091,zen
1092,guaracha
1093,christian rock
1094,palm desert scene
1095,screamo
1096,battle rap
1097,south african rock
1098,christian hip hop
1099,australian country
1100,dancehall
1101,texas pop punk
1102,old school dancehall
1103,musica costena
1104,western americana
1105,reggaeton
1106,dreamo
1107,neon pop punk
1108,pop emo
1109,moldovan pop
1110,alabama metal
1111,etherpop
1112,omaha indie
1113,british singer-songwriter
1114,jazztronica
1115,red dirt
1116,preschool children's music
1117,video game music
1118,gymcore
1119,hard alternative
1120,barbershop
1121,world worship
1122,belgian rock
1123,spacewave
1124,synthwave
1125,dark clubbing
1126,aggrotech
1127,dark electro
1128,ebm
1129,electro-industrial
1130,belgian dance
1131,jumpstyle
1132,hands up
1133,happy hardcore
1134,psychedelic blues-rock
1135,gothic symphonic metal
1136,melodic metal
1137,symphonic metal
1138,rap boricua
1139,seattle indie
1140,acid house
1141,chicago house
1142,soulful house
1143,italian tech house
1144,romanian rap
1145,country rap
1146,mandopop
1147,singaporean mandopop
1148,singaporean pop
1149,singaporean singer-songwriter
1150,disco polo
1151,vocal trance
1152,dutch trance
1153,danish pop
1154,dark progressive house
1155,deep progressive house
1156,focus trance
1157,progressive breaks
1158,talent show
1159,english indie rock
1160,kent indie
1161,reggaeton flow
1162,north carolina hip hop
1163,jawaiian
1164,hula
1165,slack-key guitar
1166,sacred steel
1167,piano cover
1168,modern old-time
1169,classic j-rock
1170,canadian ccm
1171,christian punk
1172,latin talent show
1173,industrial techno
1174,melodic metalcore
1175,virginia metal
1176,ann arbor indie
1177,asian american hip hop
1178,k-rap
1179,abstract hip hop
1180,scratch
1181,tribal house
1182,ambient techno
1183,cologne electronic
1184,microhouse
1185,martial industrial
1186,medieval folk
1187,neoclassical darkwave
1188,neofolk
1189,nashville hip hop
1190,soca
1191,pop soul
1192,acid jazz
1193,j-poprock
1194,indie pop rap
1195,bay area hip hop
1196,stomp pop
1197,melbourne bounce international
1198,chicago hardcore
1199,chicago punk
1200,kansas city hip hop
1201,modern alternative rock
1202,boston metal
1203,metalcore
1204,deep new americana
1205,progressive groove metal
1206,seattle metal
1207,gothenburg indie
1208,swedish indie folk
1209,swedish indie pop
1210,swedish singer-songwriter
1211,sacramento hip hop
1212,british power metal
1213,brighton indie
1214,drum and bass
1215,jump up
1216,jungle
1217,la indie
1218,japanese old school hip hop
1219,vancouver indie
1220,pixie
1221,russian trance
1222,indie poptimism
1223,twee pop
1224,welsh indie
1225,welsh rock
1226,indiecoustica
1227,ninja
1228,electropowerpop
1229,oi
1230,jacksonville indie
1231,anglican liturgy
1232,british contemporary classical
1233,ukhc
1234,hardcore
1235,metallic hardcore
1236,uk garage
1237,baltic classical
1238,contemporary classical
1239,shimmer pop
1240,australian indie
1241,classic indo pop
1242,pop folk
1243,stomp and flutter
1244,deep uplifting trance
1245,bubble trance
1246,bassline
1247,duranguense
1248,thai teen pop
1249,classic progressive house
1250,big room
1251,brostep
1252,dutch edm
1253,slap house
1254,australian electropop
1255,neo-synthpop
1256,eau claire indie
1257,uk pop
1258,k-indie
1259,k-rock
1260,korean pop
1261,korean singer-songwriter
1262,dark post-punk
1263,grave wave
1264,minimal wave
1265,finnish edm
1266,funky breaks
1267,greek house
1268,indie fuzzpop
1269,classic hardstyle
1270,euphoric hardstyle
1271,rawstyle
1272,chillwave
1273,electro house
1274,pop edm
1275,progressive electro house
1276,folk-pop
1277,arabesk
1278,turkish folk
1279,turkish pop
1280,danish metal
1281,danish rock
1282,pop nacional antigas
1283,k-pop
1284,k-pop boy group
1285,canadian hip hop
1286,toronto rap
1287,uk post-hardcore
1288,uk alternative pop
1289,lo-fi emo
1290,fidget house
1291,macedonian folk
1292,brooklyn indie
1293,german trance
1294,dutch indie
1295,social media pop
1296,french tech house
1297,french techno
1298,minimal techno
1299,tech house
1300,cosmic black metal
1301,depressive black metal
1302,german black metal
1303,pop ambient
1304,warm drone
1305,canadian indie
1306,experimental hip hop
1307,north carolina indie
1308,north carolina roots
1309,narodna muzika
1310,sevdah
1311,turbo folk
1312,norwegian hip hop
1313,pittsburgh rap
1314,francoton
1315,northern irish indie
1316,modern southern rock
1317,new french touch
1318,nu disco
1319,country pop
1320,uk dance
1321,west african jazz
1322,afro soul
1323,south african pop
1324,south african pop dance
1325,highlife
1326,rumba congolaise
1327,soukous
1328,african gospel
1329,azontobeats
1330,makossa
1331,thai rock
1332,thai pop
1333,brutal deathcore
1334,deathcore
1335,progressive deathcore
1336,malian blues
1337,mande pop
1338,wassoulou
1339,neo-traditional bluegrass
1340,school choir
1341,bergen indie
1342,indie cafe pop
1343,southern gospel
1344,family gospel
1345,french shoegaze
1346,instrumental post-rock
1347,dutch house
1348,deep dance pop
1349,gabba
1350,speedcore
1351,uptempo hardcore
1352,digital hardcore
1353,future rock
1354,complextro
1355,dubstep product
1356,vegas indie
1357,berlin school
1358,vapor pop
1359,progressive psytrance
1360,psychedelic trance
1361,canadian experimental
1362,drift
1363,new isolationism
1364,chicago drill
1365,drill
1366,seattle hip hop
1367,jewish a capella
1368,jewish pop
1369,edmonton indie
1370,alt z
1371,canadian electropop
1372,hyperpop
1373,modern dream pop
1374,progressive uplifting trance
1375,nashville indie
1376,australian talent show
1377,irish pop
1378,uk metalcore
1379,swiss pop
1380,small room
1381,bass trap
1382,gaming edm
1383,traprun
1384,indie surf
1385,chillstep
1386,trap soul
1387,australian indie folk
1388,epicore
1389,indonesian pop
1390,japanese electropop
1391,vocaloid
1392,orlando indie
1393,korean old school hip hop
1394,anime rock
1395,j-pixie
1396,israeli hip hop
1397,pop violin
1398,czech hip hop
1399,czsk hip hop
1400,irish singer-songwriter
1401,roots worship
1402,iowa indie
1403,canadian electronic
1404,latin viral pop
1405,rap latina
1406,classic malaysian pop
1407,malaysian pop
1408,rock kapak
1409,rare groove
1410,classic australian country
1411,j-rock
1412,belgian edm
1413,crust punk
1414,sky room
1415,hardstyle
1416,norwegian pop
1417,new comedy
1418,neo-singer-songwriter
1419,gauze pop
1420,shiver pop
1421,swedish synthpop
1422,musica per bambini
1423,australian hip hop
1424,nz hip hop
1425,polynesian pop
1426,future funk
1427,melodic rap
1428,german indie
1429,german punk rock
1430,bouyon
1431,kentucky hip hop
1432,deep ragga
1433,dark trap
1434,idol rock
1435,kawaii metal
1436,japanese jazz fusion
1437,industrial hip hop
1438,mississippi hip hop
1439,indie electropop
1440,la pop
1441,modern alternative pop
1442,vapor soul
1443,bedroom pop
1444,deep talent show
1445,baltimore indie
1446,minimal tech house
1447,balearic
1448,scottish electronic
1449,water
1450,sound
1451,white noise
1452,binaural
1453,brain waves
1454,emo rap
1455,vapor trap
1456,florida rap
1457,deep underground hip hop
1458,canadian americana
1459,canadian contemporary country
1460,saskatchewan indie
1461,atmospheric dnb
1462,liquid funk
1463,rhode island rap
1464,sad rap
1465,liverpool indie
1466,uk funky
1467,modern big band
1468,scottish jazz
1469,moombahton
1470,electronic trap
1471,deep funk house
1472,dfw rap
1473,classify
1474,meme rap
1475,san diego rap
1476,cantopop
1477,xinyao
1478,hawaiian hip hop
1479,coverchill
1480,deep classic garage rock
1481,afro dancehall
1482,azonto
1483,nigerian hip hop
1484,nigerian pop
1485,finnish power metal
1486,viral rap
1487,newcastle nsw indie
1488,icelandic indie
1489,icelandic rock
1490,dmv rap
1491,gqom
1492,korean r&b
1493,background music
1494,indie anthem-folk
1495,oakland indie
1496,kentucky indie
1497,munich electronic
1498,broken beat
1499,japanese jazztronica
1500,smooth soul
1501,deep comedy
1502,lo-fi beats
1503,bardcore
1504,nu skool breaks
1505,israeli techno
1506,organic house
1507,future garage
1508,swedish electronic
1509,italian trance
1510,pittsburgh indie
1511,detroit trap
1512,el paso indie
1513,atl trap
1514,bubblegrunge
1515,norwegian indie
1516,classic k-pop
1517,korean electropop
1518,cincinnati rap
1519,deep southern soul
1520,reggaeton colombiano
1521,rap conscient
1522,post-minimalism
1523,nyc pop
1524,minimal melodic techno
1525,deep minimal techno
1526,deep euro house
1527,vapor twitch
1528,chillhop
1529,bedroom soul
1530,midwest americana
1531,brooklyn drill
1532,minnesota hip hop
1533,austindie
1534,italian progressive rock
1535,british indie rock
1536,german dance
1537,deep progressive trance
1538,dream trance
1539,old school hard trance
1540,german electronica
1541,pop reggaeton
1542,modern indie pop
1543,future bass
1544,mashup
1545,r&b en espanol
1546,dubsteppe
1547,birmingham grime
1548,grime
1549,instrumental grime
1550,irish electronic
1551,tech trance
1552,ritmo kombina
1553,funk carioca
1554,funk pop
1555,pagode baiano
1556,pop nacional
1557,american romanticism
1558,concert band
1559,marching band
1560,mexican classical
1561,entehno
1562,washboard
1563,vintage spanish pop
1564,merengue
1565,german ccm
1566,muzica populara
1567,classic greek pop
1568,greek pop
1569,khaleeji iraqi
1570,middle eastern traditional
