,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
87,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0,4,2
88,0.75,0.418,11,-10.412,1,0.244,0.149,1.72e-06,0.0857,0.442,104.981,4,2
89,0.834,0.759,8,-6.191,1,0.157,0.178,0.0,0.0971,0.559,112.025,4,2
90,0.925,0.463,6,-9.309,0,0.454,0.0681,0.0,0.101,0.961,133.061,4,2
91,0.908,0.646,6,-7.083,1,0.145,0.00985,1.98e-05,0.185,0.539,120.092,4,2
92,0.457,0.563,6,-7.605,1,0.214,0.117,0.0,0.197,0.259,92.23,4,2
93,0.821,0.339,2,-7.216,1,0.443,0.317,0.33,0.114,0.188,142.851,4,2
94,0.968,0.793,10,-4.645,0,0.256,0.00136,0.0,0.0814,0.793,105.012,4,2
95,0.567,0.826,10,-4.678,0,0.443,0.342,0.0,0.135,0.726,84.814,4,2
96,0.898,0.56,0,-8.891,1,0.117,0.00238,0.0,0.108,0.465,146.458,4,2
97,0.667,0.249,6,-16.038,0,0.456,0.0166,2.24e-05,0.238,0.26,113.845,3,2
98,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,4,2
99,0.657,0.479,5,-8.161,1,0.326,0.833,0.0,0.135,0.352,120.283,4,2
100,0.881,0.691,5,-6.431,1,0.379,0.13,0.0,0.469,0.792,134.042,4,2
101,0.799,0.551,8,-6.924,1,0.0645,0.0818,2.14e-05,0.337,0.554,95.025,4,2
102,0.812,0.755,2,-7.606,1,0.141,0.0624,2.66e-05,0.157,0.178,171.985,4,2
103,0.85,0.751,1,-3.524,0,0.294,0.124,0.0,0.0859,0.733,100.021,4,2
104,0.678,0.558,1,-7.023,1,0.27,0.0376,0.000486,0.235,0.451,155.129,4,2
105,0.878,0.579,0,-7.292,1,0.369,0.112,0.0,0.204,0.51,149.893,4,2
106,0.601,0.73,6,-6.88,0,0.464,0.0121,0.0,0.229,0.371,83.233,4,2
107,0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985,4,2
108,0.56,0.62,11,-7.778,0,0.089,0.36,0.000106,0.1,0.411,156.178,4,2
109,0.817,0.552,8,-10.8,0,0.386,0.032,7.17e-06,0.826,0.808,102.011,4,2
110,0.454,0.645,4,-8.201,1,0.258,0.365,0.0,0.147,0.647,97.408,4,2
111,0.762,0.748,2,-4.95,0,0.0507,0.323,1.88e-06,0.294,0.275,90.024,4,2
112,0.379,0.714,4,-6.341,0,0.132,0.0399,0.0,0.543,0.475,170.038,4,2
113,0.503,0.554,5,-7.551,0,0.305,0.389,0.0,0.108,0.188,79.497,4,2
114,0.591,0.765,10,-3.661,0,0.246,0.0636,0.0,0.059,0.589,129.04,4,2
115,0.704,0.491,8,-6.831,1,0.0591,0.0266,0.0,0.338,0.123,137.036,4,2
116,0.754,0.817,2,-5.283,1,0.254,0.073,0.0,0.379,0.269,142.783,4,2
117,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,4,2
118,0.829,0.768,1,-6.256,1,0.121,0.0102,0.0,0.0952,0.884,137.909,4,2
119,0.657,0.822,4,-6.071,0,0.0785,0.108,0.0,0.34,0.597,82.011,4,2
120,0.873,0.62,7,-8.812,1,0.293,0.0113,0.000121,0.0925,0.574,105.332,4,2
121,0.64,0.6,7,-6.341,1,0.0948,0.075,7.9e-05,0.0752,0.627,175.832,4,2
122,0.734,0.707,0,-6.255,1,0.15,0.289,0.0,0.0777,0.816,81.988,4,2
123,0.911,0.651,9,-6.043,1,0.349,0.00338,0.0,0.112,0.615,135.974,4,2
124,0.681,0.505,1,-11.709,1,0.138,0.137,0.0,0.234,0.399,89.953,4,2
125,0.943,0.524,7,-6.813,0,0.178,0.0456,3.08e-06,0.0987,0.411,130.003,4,2
126,0.445,0.853,0,-4.09,1,0.28,0.453,0.0,0.286,0.718,80.822,4,2
127,0.663,0.706,5,-6.97,0,0.329,0.337,0.0,0.113,0.244,74.836,4,2
128,0.469,0.565,5,-7.408,0,0.204,0.196,0.0,0.206,0.352,95.022,4,2
129,0.911,0.637,8,-8.381,1,0.447,0.0409,3.68e-05,0.238,0.66,149.996,4,2
130,0.671,0.745,4,-4.095,0,0.343,0.00592,0.0,0.288,0.503,94.261,4,2
131,0.633,0.5,10,-10.359,0,0.051,0.151,0.0,0.71,0.881,145.708,4,2
132,0.815,0.57,10,-5.994,1,0.315,0.00587,0.000465,0.0973,0.134,77.962,4,2
133,0.928,0.437,1,-7.081,0,0.127,0.144,0.000357,0.147,0.496,100.056,4,2
134,0.784,0.514,11,-7.111,0,0.285,0.0957,0.0,0.207,0.269,135.111,4,2
135,0.74,0.677,8,-5.176,0,0.0493,0.327,0.0,0.201,0.809,100.041,4,2
136,0.905,0.564,8,-9.221,1,0.307,0.368,0.0,0.112,0.547,141.983,4,2
137,0.601,0.724,1,-6.769,0,0.48,0.0859,0.0,0.14,0.669,125.117,5,2
138,0.683,0.628,6,-6.512,1,0.123,0.659,0.0,0.106,0.356,142.06,4,2
139,0.77,0.553,11,-7.855,1,0.0647,0.475,0.0,0.16,0.687,136.399,4,2
140,0.454,0.772,1,-7.181,1,0.342,0.319,9.95e-06,0.361,0.64,172.31,4,2
141,0.766,0.907,7,-3.058,0,0.264,0.619,0.0,0.369,0.903,101.952,4,2
142,0.814,0.582,8,-9.003,0,0.304,0.0898,0.0,0.111,0.436,126.959,4,2
143,0.897,0.939,6,-4.053,1,0.171,0.108,0.0,0.0782,0.913,120.013,4,2
144,0.824,0.886,7,-9.929,1,0.139,0.274,0.0,0.0694,0.25,115.02,4,2
145,0.405,0.519,1,-9.859,1,0.0899,0.434,0.0,0.684,0.186,115.776,5,2
146,0.722,0.639,2,-6.959,1,0.373,0.000917,2.79e-05,0.352,0.324,90.972,4,2
147,0.843,0.762,9,-7.915,0,0.449,0.143,0.0,0.35,0.542,144.856,3,2
148,0.771,0.817,2,-6.791,1,0.214,0.306,0.0,0.155,0.554,123.952,4,2
149,0.642,0.589,5,-7.392,0,0.302,0.124,0.0,0.0868,0.72,95.543,5,2
150,0.772,0.724,6,-5.799,0,0.307,0.0149,0.0,0.355,0.518,84.038,4,2
